会話ID,フラグ,話者,ボイスファイルネーム,背景,会話,会話(English),キャラ1,キャラ1_立ち位置※追加不可,キャラ1_ファイル名,キャラ2,キャラ2_立ち位置※追加不可,キャラ2_ファイル名
,,プレイヤー,,,[ClassSelect][ClassSelectTest3]できる！[MainCharacter]ならできる！俺を信じろ！,,リアン,Middle,Conversation_StandingPicture_01,,,
FirstExam2,FirstExamClear,リアン,Lian_64,Conversation_HonorStudent_Noon,うそ、夢......じゃないよね？,,リアン,Middle,Conversation_StandingPicture_01,,,
,,プレイヤー,,,いっただろ、信じろって！,,リアン,Middle,Conversation_StandingPicture_01,,Right,Conversation_StandingPicture_02
,,生徒会長,SCP_65,,[Skit][SecondExam1]ふん！まぐれですわ！次の試験でわたくしを倒せるかしら！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
FirstExam3,FirstExamFailure,リアン,Lian_66,Conversation_HonorStudent_Noon,やっぱり......私じゃダメなんだ......,,リアン,Middle,Conversation_StandingPicture_01,,,
,,生徒会長,SCP_67,,[SetFlag:FirstExam][Skit][FirstExam1]混血は混血らしく泥をすすって生きてればいいのよ！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
SecondExam1,SecondExam,生徒会長,SCP_68,Conversation_HonorStudent_Noon,[SetFlag:SecondExam][ClassSelect][ClassSelectTest1]貴方、わたくしに勝てるかしら！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
SecondExam2,SecondExamClear,生徒会長,SCP_69,Conversation_HonorStudent_Noon,理解......できないですわ......,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,リアン,Lian_70,,私でも......倒せた......！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
SecondExam3,SecondExamFailure,生徒会長,SCP_76,Conversation_HonorStudent_Noon,貴方には、地べたを這いつくばって生きていくのがお似合いですわ！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,プレイヤー,,,[SetFlag:SecondExam][Skit][SecondExam1]あきらめるな！まだやれるから！,,リアン,Middle,Conversation_StandingPicture_01,,,
ClassProblem_1,ClassProblem_1,先生,,Conversation_BackGround_02_Noon,それでは授業を始めます,,,,,,,
,,先生,,,第一問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_01],,,,,,,
,,先生,,,第二問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_02],,,,,,,
,,先生,,,第三問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_03],,,,,,,
,,先生,,,第四問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_04],,,,,,,
,,先生,,,第五問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_05],,,,,,,
,,先生,,,以上で授業は終了です!,,,,,,,
ClassProblem_2,ClassProblem_1,先生,,,それでは授業を始めます,,,,,,,
,,先生,,,第一問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_06],,,,,,,
,,先生,,,第二問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_07],,,,,,,
,,先生,,,第三問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_08],,,,,,,
,,先生,,,第四問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_09],,,,,,,
,,先生,,,第五問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_10],,,,,,,
,,先生,,,以上で授業は終了です!,,,,,,,
ClassProblem_3,ClassProblem_1,先生,,,それでは授業を始めます,,,,,,,
,,先生,,,第一問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_11],,,,,,,
,,先生,,,第二問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_12],,,,,,,
,,先生,,,第三問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_13],,,,,,,
,,先生,,,第四問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_14],,,,,,,
,,先生,,,第五問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_15],,,,,,,
,,先生,,,以上で授業は終了です!,,,,,,,
ClassProblem_4,ClassProblem_1,先生,,,それでは授業を始めます,,,,,,,
,,先生,,,第一問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_16],,,,,,,
,,先生,,,第二問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_17],,,,,,,
,,先生,,,第三問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_18],,,,,,,
,,先生,,,第四問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_19],,,,,,,
,,先生,,,第五問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_20],,,,,,,
,,先生,,,以上で授業は終了です!,,,,,,,
ClassProblem_5,ClassProblem_1,先生,,,それでは授業を始めます,,,,,,,
,,先生,,,第一問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_21],,,,,,,
,,先生,,,第二問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_22],,,,,,,
,,先生,,,第三問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_23],,,,,,,
,,先生,,,第四問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_24],,,,,,,
,,先生,,,第五問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_25],,,,,,,
,,先生,,,以上で授業は終了です!,,,,,,,
ClassProblem_6,ClassProblem_1,先生,,,それでは授業を始めます,,,,,,,
,,先生,,,第一問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_26],,,,,,,
,,先生,,,第二問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_27],,,,,,,
,,先生,,,第三問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_28],,,,,,,
,,先生,,,第四問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_29],,,,,,,
,,先生,,,第五問！,,,,,,,
,,先生,,,[Choice][ClassProblemSelect_30],,,,,,,
,,先生,,,以上で授業を終わります。,,,,,,,
